time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1984-12-30T21:36:56.410Z,-36.663,177.512,39.3,6.8,mw,,,,1.4,us,usp0002ajv,2016-11-10T00:57:12.715Z,"150 km N of Opotiki, New Zealand",earthquake,,4.1,,,reviewed,us,hrv
1993-08-13T11:02:20.390Z,-35.989,178.51,95.2,6.3,mw,,,,1.3,us,usp0005yfz,2016-11-09T23:14:30.638Z,"249 km NNE of Opotiki, New Zealand",earthquake,,,,,reviewed,us,hrv
1991-11-20T09:23:09.460Z,-36.515,178.385,79.2,6.1,mw,,,,1.4,us,usp0004zcg,2016-11-10T00:52:44.114Z,"192 km NNE of Opotiki, New Zealand",earthquake,,,,,reviewed,us,hrv
1984-12-30T20:59:56.120Z,-36.695,177.493,35.8,5.8,mw,,,,1.3,us,usp0002ajr,2016-11-10T00:19:36.471Z,"146 km N of Opotiki, New Zealand",earthquake,,7.1,,,reviewed,us,hrv
2020-03-14T10:05:15.903Z,-36.545,178.8162,48.06,5.8,mww,,55,1.094,0.74,us,us60008hpv,2020-05-30T22:17:19.040Z,"211 km NE of Opotiki, New Zealand",earthquake,9.4,2.8,0.073,18,reviewed,us,us
2013-02-16T05:16:17.130Z,-36.514,177.933,207.1,5.8,mww,499,28.3,,1.06,us,usc000f8cd,2020-07-10T18:51:42.575Z,"175 km NNE of Opotiki, New Zealand",earthquake,,3.7,,,reviewed,us,us
1984-12-28T18:20:16.130Z,-36.638,177.772,26.8,5.7,mw,,,,1.3,us,usp0002age,2016-11-10T00:18:39.183Z,"158 km NNE of Opotiki, New Zealand",earthquake,,5.9,,,reviewed,us,hrv
1985-01-08T07:41:47.080Z,-36.583,177.685,24.6,5.7,mw,,,,1.2,us,usp0002av1,2016-11-09T21:37:32.175Z,"162 km NNE of Opotiki, New Zealand",earthquake,,7.1,,,reviewed,us,hrv
1985-01-06T18:32:05.490Z,-36.644,177.584,28,5.6,mw,,,,1,us,usp0002at7,2016-11-09T21:36:38.824Z,"153 km N of Opotiki, New Zealand",earthquake,,7.8,,,reviewed,us,hrv
1993-08-26T01:30:00.070Z,-35.899,178.265,33,5.6,mw,,,,1.2,us,usp0005z76,2016-11-09T23:20:28.113Z,"249 km ENE of Tairua, New Zealand",earthquake,,,,,reviewed,us,hrv
2021-03-19T18:52:43.663Z,-35.4845,178.673,173.23,5.6,mww,,24,2.094,0.92,us,us7000dl1u,2021-06-02T15:24:00.040Z,off the east coast of the North Island of New Zealand,earthquake,7,4.3,0.057,30,reviewed,us,us
1984-12-30T20:26:24.630Z,-36.68,177.701,42.9,5.5,mw,,,,1.2,us,usp0002ajn,2016-11-10T00:19:35.895Z,"152 km NNE of Opotiki, New Zealand",earthquake,,7.1,,,reviewed,us,hrv
1985-01-13T16:01:00.140Z,-36.676,177.71,33,5.5,mb,,,,1.2,us,usp0002b04,2014-11-07T00:36:01.710Z,"152 km NNE of Opotiki, New Zealand",earthquake,,,,5,reviewed,us,us
1984-12-30T15:06:45.200Z,-36.622,177.893,23.6,5.5,mw,,,,1.1,us,usp0002ajh,2016-11-10T00:19:35.285Z,"163 km NNE of Opotiki, New Zealand",earthquake,,5.5,,,reviewed,us,hrv
1984-12-28T13:58:14.730Z,-36.609,177.803,33,5.5,mb,,,,1.3,us,usp0002ag9,2014-11-07T00:35:54.804Z,"161 km NNE of Opotiki, New Zealand",earthquake,,,,6,reviewed,us,us
2017-11-22T07:42:58.560Z,-36.5756,177.5099,15.91,5.5,mww,,61,1.173,1.37,us,us2000bsrh,2018-02-14T02:01:10.040Z,"156 km ENE of Tairua, New Zealand",earthquake,6.9,1.9,0.054,33,reviewed,us,us
1979-10-28T18:41:39.800Z,-36.766,177.952,154,5.4,mb,,,,,us,usp00013rj,2016-11-09T23:49:49.914Z,"150 km NNE of Opotiki, New Zealand",earthquake,,,,,reviewed,us,us
1985-01-02T21:08:57.300Z,-36.549,177.794,33,5.4,mw,,,,1.3,us,usp0002anp,2016-11-09T21:35:05.068Z,off the east coast of the North Island of New Zealand,earthquake,,,,,reviewed,us,hrv
1999-04-20T06:15:21.430Z,-36.396,177.863,228.8,5.4,mwc,,,,1.03,us,usp00096kn,2016-11-09T22:20:55.554Z,"186 km NNE of Opotiki, New Zealand",earthquake,,5.2,,,reviewed,us,hrv
1999-07-15T14:52:57.970Z,-35.781,178.089,248.9,5.4,mwc,,,,1.04,us,usp0009bnj,2016-11-09T22:59:46.143Z,"243 km NE of Tairua, New Zealand",earthquake,,,,,reviewed,us,hrv
1994-12-04T22:05:57.320Z,-35.587,178.431,160,5.4,mw,,,,1.2,us,usp0006pp1,2016-11-10T00:07:29.287Z,"280 km NE of Tairua, New Zealand",earthquake,,,,,reviewed,us,hrv
1992-03-16T23:21:33.390Z,-35.406,178.528,180.8,5.4,mw,,,,1.4,us,usp00054cq,2016-11-09T22:05:47.836Z,"299 km ENE of Whitianga, New Zealand",earthquake,,,,,reviewed,us,hrv
1996-06-16T00:56:44.600Z,-36.481,178.922,33,5.3,ms,,,,1.3,us,usp0007ju7,2014-11-07T01:00:38.086Z,"223 km NE of Opotiki, New Zealand",earthquake,,,,1,reviewed,us,us
2014-09-21T15:02:30.210Z,-36.0766,178.0643,10,5.3,mb,,75,1.495,1.02,us,usb000ser4,2014-12-19T00:05:25.040Z,"224 km ENE of Tairua, New Zealand",earthquake,7.6,1.7,0.075,72,reviewed,us,us
2011-07-09T14:40:45.490Z,-35.897,178.116,12,5.3,mwc,127,57.5,,,us,usp000j4f3,2014-11-07T01:45:19.145Z,"238 km ENE of Tairua, New Zealand",earthquake,,,,,reviewed,wel,gcmt
2007-10-27T07:54:58.880Z,-35.65,177.931,5.7,5.3,mwc,21,89.4,,0.74,us,usp000frc7,2016-11-10T01:47:23.973Z,"239 km NE of Whitianga, New Zealand",earthquake,,18.4,,,reviewed,us,gcmt
2008-12-17T20:33:57.610Z,-36.914,177.732,126.4,5.2,mwc,136,72.5,,,us,usp000gqts,2016-11-10T02:05:29.929Z,"127 km NNE of Opotiki, New Zealand",earthquake,,,,,reviewed,wel,gcmt
1984-12-30T21:36:23.030Z,-36.749,177.411,40.4,5.2,mb,,,,1.1,us,usp0002aju,2014-11-07T00:35:55.120Z,"139 km NNE of Whakatane, New Zealand",earthquake,,6.4,,2,reviewed,us,us
1984-12-30T21:28:39.040Z,-36.696,177.536,43.8,5.2,mb,,,,1.1,us,usp0002ajt,2014-11-07T00:35:55.118Z,"147 km N of Opotiki, New Zealand",earthquake,,14.5,,2,reviewed,us,us
1984-12-28T13:05:36.510Z,-36.66,177.777,33,5.2,mb,,,,1.8,us,usp0002ag6,2014-11-07T00:35:54.795Z,"155 km NNE of Opotiki, New Zealand",earthquake,,,,3,reviewed,us,us
1976-05-18T06:39:01.400Z,-36.605,177.609,33,5.2,mb,,,,,us,usp0000gd9,2014-11-06T23:21:35.319Z,"158 km N of Opotiki, New Zealand",earthquake,,,,,reviewed,us,us
1981-07-06T17:26:15.950Z,-36.593,177.541,146.9,5.2,mb,,,,0.7,us,usp0001ejb,2014-11-07T00:29:45.142Z,"158 km ENE of Tairua, New Zealand",earthquake,,17.3,,3,reviewed,us,us
2012-01-15T13:41:31.420Z,-36.573,177.217,273.2,5.2,ml,94,214.6,,,us,usp000jdhr,2014-11-07T01:46:47.346Z,"131 km ENE of Tairua, New Zealand",earthquake,,,,,reviewed,wel,wel
2015-02-23T10:25:06.180Z,-36.5148,177.267,24.92,5.2,mww,,,,1.25,us,usc000tsfu,2015-05-12T20:29:41.040Z,"138 km ENE of Tairua, New Zealand",earthquake,7.9,4.2,,,reviewed,wel,us
1985-01-13T01:08:27.030Z,-36.465,177.651,33,5.2,mb,,,,1.3,us,usp0002azg,2014-11-07T00:36:01.604Z,"172 km ENE of Tairua, New Zealand",earthquake,,,,6,reviewed,us,us
1985-11-27T02:01:32.620Z,-36.848,178.552,33,5.1,mb,,,,1.4,us,usp0002n8x,2014-11-07T00:37:30.833Z,"170 km NE of Opotiki, New Zealand",earthquake,,,,8,reviewed,us,us
1985-01-01T16:40:24.420Z,-36.664,177.636,33,5.1,mb,,,,1,us,usp0002amn,2014-11-07T00:35:57.632Z,"152 km NNE of Opotiki, New Zealand",earthquake,,,,3,reviewed,us,us
2020-03-18T16:56:24.148Z,-36.5901,178.9624,47.07,5.1,mb,,101,1.103,0.83,us,us60008hxu,2020-06-06T20:53:49.040Z,"216 km NE of Opotiki, New Zealand",earthquake,9.4,4,0.089,41,reviewed,us,us
2007-10-11T10:19:12.100Z,-36.59,177.1,12,5.1,ml,39,182.7,,,us,usp000fqap,2014-11-07T01:33:54.151Z,"121 km ENE of Tairua, New Zealand",earthquake,,,,,reviewed,wel,wel
